	subjects	classes	status	B0	Dice	HD95
242	sub_3	R-MCA	without_pp	0.0	0.9046369203849519	0.3571434020996094
243	sub_4	R-MCA	without_pp	0.0	0.928679817905918	0.35714292526245117
244	sub_5	R-MCA	without_pp	0.0	0.6849593495934959	1.2351162433624268
245	sub_6	R-MCA	without_pp	0.0	0.9044585987261146	0.5050760507583618
246	sub_7	R-MCA	without_pp	0.0	0.7599364069952306	1.0714287757873535
247	sub_8	R-MCA	without_pp	0.0	0.8468244084682441	0.7142858505249023
248	sub_9	R-MCA	without_pp	0.0	0.8973305954825462	0.5050767064094543
249	sub_10	R-MCA	without_pp	0.0	0.7590847913862718	1.1293848752975464
250	sub_11	R-MCA	without_pp	0.0	0.8905380333951763	0.5050763487815857
251	sub_12	R-MCA	without_pp	0.0	0.7669724770642202	0.7985958456993103
252	sub_13	R-MCA	without_pp	0.0	0.7308730873087309	2.142857074737549
253	sub_14	R-MCA	without_pp	1.0	0.8690095846645367	0.5050763487815857
254	sub_15	R-MCA	without_pp	0.0	0.755336617405583	0.8718973964452743
255	sub_16	R-MCA	without_pp	0.0	0.8585657370517928	0.5050763785839081
256	sub_17	R-MCA	without_pp	0.0	0.9121725731895223	0.35714292526245117
257	sub_18	R-MCA	without_pp	0.0	0.8043478260869564	0.5050765186548233
258	sub_19	R-MCA	without_pp	0.0	0.7976878612716763	0.7985960245132446
259	sub_20	R-MCA	without_pp	0.0	0.9451395572666025	0.35714268684387207
260	sub_1	R-PCA	without_pp	0.0	0.9322936477748193	0.4999980926513672
261	sub_2	R-PCA	without_pp	1.0	0.198394495412844	5.669017791748047
262	sub_3	R-PCA	without_pp	0.0	0.9250398724082934	0.3571434020996094
263	sub_4	R-PCA	without_pp	0.0	0.9336016096579477	0.3571434020996094
264	sub_5	R-PCA	without_pp	0.0	0.9042709867452137	0.3571434020996094
265	sub_6	R-PCA	without_pp	0.0	0.9148846960167715	0.4999986171722412
266	sub_7	R-PCA	without_pp	0.0	0.8858988159311088	0.3571434020996094
267	sub_8	R-PCA	without_pp	0.0	0.923076923076923	0.3571434020996094
268	sub_9	R-PCA	without_pp	0.0	0.9461713419257013	0.3571434020996094
269	sub_10	R-PCA	without_pp	2.0	0.7965200579990334	2.8813706636428833
270	sub_11	R-PCA	without_pp	1.0	0.66030230708035	3.0527507781982406
271	sub_12	R-PCA	without_pp	0.0	0.8910081743869209	0.7107028603553772
272	sub_13	R-PCA	without_pp	0.0	0.8592400690846287	0.5000028610229492
273	sub_14	R-PCA	without_pp	0.0	0.9189974573192881	0.3571434020996094
274	sub_15	R-PCA	without_pp	0.0	0.8818831441782261	0.3571434020996094
275	sub_16	R-PCA	without_pp	0.0	0.8912931478619269	0.5000028610229492
276	sub_17	R-PCA	without_pp	0.0	0.6579881656804732	4.941621923446655
277	sub_18	R-PCA	without_pp	0.0	0.9211943220753793	0.3571434020996094
278	sub_19	R-PCA	without_pp	0.0	0.9025844930417496	0.5000004768371582
279	sub_20	R-PCA	without_pp	0.0	0.9022447501810282	0.3571434020996094
280	sub_1	R-Pcom	without_pp	1.0	0.0	90.0
281	sub_2	R-Pcom	without_pp	1.0	0.0	90.0
282	sub_3	R-Pcom	without_pp	0.0	0.9193548387096774	0.3571434020996094
283	sub_4	R-Pcom	without_pp			
284	sub_5	R-Pcom	without_pp	0.0	0.5145228215767635	7.127425885200501
285	sub_6	R-Pcom	without_pp	0.0	0.8995633187772926	0.6144508123397827
286	sub_7	R-Pcom	without_pp			
287	sub_8	R-Pcom	without_pp	1.0	0.0	90.0
288	sub_9	R-Pcom	without_pp			
289	sub_10	R-Pcom	without_pp	5.0	0.0	90.0
290	sub_11	R-Pcom	without_pp	0.0	0.7139084507042253	3.8138920307159423
291	sub_12	R-Pcom	without_pp	1.0	0.7492063492063492	2.0775747299194336
292	sub_13	R-Pcom	without_pp	0.0	0.919629057187017	0.5000028610229492
293	sub_14	R-Pcom	without_pp	0.0	0.8863833477883781	0.4999990463256836
294	sub_15	R-Pcom	without_pp			
295	sub_16	R-Pcom	without_pp	1.0	0.74	0.5488279700279242
296	sub_17	R-Pcom	without_pp	0.0	0.8819951338199513	0.4999995231628418
297	sub_18	R-Pcom	without_pp			
298	sub_19	R-Pcom	without_pp	0.0	0.914093206064009	0.3571434020996094
299	sub_20	R-Pcom	without_pp	0.0	0.8986866791744841	0.3571434020996094
300	sub_1	3rd-A2	with_pp			
301	sub_2	3rd-A2	with_pp			
302	sub_3	3rd-A2	with_pp			
303	sub_4	3rd-A2	with_pp			
304	sub_5	3rd-A2	with_pp			
305	sub_6	3rd-A2	with_pp			
306	sub_7	3rd-A2	with_pp			
307	sub_8	3rd-A2	with_pp			
308	sub_9	3rd-A2	with_pp			
309	sub_10	3rd-A2	with_pp			
310	sub_11	3rd-A2	with_pp			
311	sub_12	3rd-A2	with_pp	1.0	0.0	90.0
312	sub_13	3rd-A2	with_pp			
313	sub_14	3rd-A2	with_pp			
314	sub_15	3rd-A2	with_pp			
315	sub_16	3rd-A2	with_pp			
316	sub_17	3rd-A2	with_pp			
317	sub_18	3rd-A2	with_pp			
318	sub_19	3rd-A2	with_pp			
319	sub_20	3rd-A2	with_pp	0.0	0.92573402417962	0.35714292526245117
320	sub_1	Acom	with_pp	0.0	0.8973913043478261	0.3571434020996094
321	sub_2	Acom	with_pp	0.0	0.63	0.7107041716575623
322	sub_3	Acom	with_pp	0.0	0.7353629976580797	1.1271251440048218
323	sub_4	Acom	with_pp	0.0	0.6238532110091742	1.0714282989501953
324	sub_5	Acom	with_pp	0.0	0.6012269938650306	1.5150603890419005
325	sub_6	Acom	with_pp	1.0	0.0	90.0
326	sub_7	Acom	with_pp			
327	sub_8	Acom	with_pp	0.0	0.8070739549839228	0.5000004768371582
328	sub_9	Acom	with_pp	0.0	0.8133802816901409	0.5050760895013809
329	sub_10	Acom	with_pp	1.0	0.0	90.0
330	sub_11	Acom	with_pp	0.0	0.6470588235294118	0.7142853736877441
331	sub_12	Acom	with_pp	0.0	0.8153618906942393	0.3571434020996094
332	sub_13	Acom	with_pp	0.0	0.8402061855670103	0.3571434020996094
333	sub_14	Acom	with_pp	0.0	0.8607594936708861	0.44285631179809487
334	sub_15	Acom	with_pp	0.0	0.38095238095238093	1.8499422669410706
335	sub_16	Acom	with_pp	0.0	0.7869674185463659	0.5000028610229492
336	sub_17	Acom	with_pp	0.0	0.7499999999999999	0.6035140156745902
337	sub_18	Acom	with_pp	0.0	0.7216494845360826	0.40152328610420185
338	sub_19	Acom	with_pp	0.0	0.2553191489361702	1.413401269912719
339	sub_20	Acom	with_pp	0.0	0.3672131147540984	1.515228509902954
340	sub_1	BA	with_pp	0.0	0.9558323895809739	0.3571434020996094
341	sub_2	BA	with_pp	1.0	0.0	90.0
342	sub_3	BA	with_pp	0.0	0.9337375487223907	0.5000038146972656
343	sub_4	BA	with_pp	0.0	0.9622341195196064	0.3571434020996094
344	sub_5	BA	with_pp	0.0	0.8913827655310621	0.8718972206115723
345	sub_6	BA	with_pp	0.0	0.9260869565217391	0.3571434020996094
346	sub_7	BA	with_pp	0.0	0.8483896307934015	0.3571434020996094
347	sub_8	BA	with_pp	0.0	0.937799043062201	0.3571434020996094
348	sub_9	BA	with_pp	0.0	0.9566143199361192	0.3571434020996094
349	sub_10	BA	with_pp	0.0	0.9626168224299065	0.3571434020996094
